Date,Canara,hdfc,ppfas,uti
05-Mar-2018,151.17,56.109,23.787,67.1197
06-Mar-2018,150.09,55.452,23.8103,66.4163
07-Mar-2018,149.29,54.721,23.7273,65.8121
08-Mar-2018,149.83,55.281,23.8123,66.3821
09-Mar-2018,149.82,54.839,23.8226,66.2834
12-Mar-2018,151.31,55.453,24.0299,67.5292
13-Mar-2018,151.72,55.789,24.0771,67.5776
14-Mar-2018,151.57,55.69,23.93,67.4771
15-Mar-2018,151.19,55.591,23.9856,67.1514
16-Mar-2018,149.81,54.783,23.839,66.1344
19-Mar-2018,148.71,54.174,23.6366,65.4873
20-Mar-2018,148.96,54.349,23.4615,65.746
21-Mar-2018,149.37,54.402,23.4188,65.9453
22-Mar-2018,148.98,53.633,23.3215,65.6935
23-Mar-2018,148.12,52.975,22.9944,64.9416
26-Mar-2018,149.26,53.61,23.0584,65.7954
27-Mar-2018,150.28,54.029,23.1745,66.1355
28-Mar-2018,149.8,53.627,22.9248,65.6838
02-Apr-2018,151.03,54.106,23.1121,66.2896
03-Apr-2018,151.78,54.588,23.0664,66.4928
04-Apr-2018,150.62,53.895,23.0448,65.748
05-Apr-2018,152.57,55.056,23.2377,66.9996
06-Apr-2018,152.79,55.247,23.4551,67.0407
09-Apr-2018,153.32,55.3,23.4644,67.3489
10-Apr-2018,153.06,55.663,23.499,67.4967
11-Apr-2018,153.05,55.431,23.5595,67.5924
12-Apr-2018,153.36,55.436,23.5754,67.8616
13-Apr-2018,153.43,55.267,23.6301,68.0032
16-Apr-2018,154.11,55.181,23.6884,68.3093
17-Apr-2018,154.55,55.299,23.7419,68.4422
18-Apr-2018,154.28,55.219,23.7885,68.2958
19-Apr-2018,154.72,55.195,23.7685,68.5497
20-Apr-2018,154.46,54.895,23.848,68.5413
23-Apr-2018,154.68,55.007,23.7761,68.6747
24-Apr-2018,155.18,54.803,23.8781,68.8666
25-Apr-2018,154.61,54.276,23.6817,68.5829
26-Apr-2018,154.91,54.143,23.697,68.8886
27-Apr-2018,155.61,54.695,23.9822,69.3703
30-Apr-2018,156.13,55.211,24.1046,69.6738
02-May-2018,155.71,54.834,23.9507,69.5413
03-May-2018,154.98,54.431,23.8823,69.2934
04-May-2018,154.58,54.438,23.8201,68.8977
07-May-2018,155.39,54.74,23.9446,69.5251
08-May-2018,155.51,54.896,23.985,69.5401
09-May-2018,155.32,54.841,24.0225,69.6961
10-May-2018,154.7,54.496,24.046,69.5333
11-May-2018,155.72,54.837,24.1926,70.1135
14-May-2018,155.56,54.843,24.2366,70.1137
15-May-2018,155.41,54.433,24.2909,70.0829
16-May-2018,154.85,53.957,24.2766,69.6902
17-May-2018,154.68,53.909,24.3748,69.3125
18-May-2018,154.22,52.871,24.2885,68.7549
21-May-2018,152.99,52.285,24.0117,68.2401
22-May-2018,153.41,52.723,24.2693,68.3689
23-May-2018,152.64,52.262,24.1905,67.6813
24-May-2018,153,52.458,24.2017,68.2199
25-May-2018,154.25,52.911,24.298,68.8756
28-May-2018,155.1,53.939,24.3155,69.4115
29-May-2018,154.53,53.54,24.2944,69.0529
30-May-2018,154.37,53.051,24.2946,68.93
31-May-2018,155.1,53.327,24.293,69.7849
01-Jun-2018,154.35,52.914,24.2655,69.5263
04-Jun-2018,153.5,52.545,24.2593,69.0963
05-Jun-2018,153.01,52.239,24.1523,68.8674
06-Jun-2018,153.8,52.528,24.2372,69.4571
07-Jun-2018,154.83,52.912,24.3553,69.9978
08-Jun-2018,154.87,52.923,24.4881,69.9932
11-Jun-2018,155.05,52.923,24.6082,70.1172
12-Jun-2018,155.53,53.169,24.8178,70.4781
13-Jun-2018,155.41,53.153,24.7997,70.5666
14-Jun-2018,155.15,53.042,24.8297,70.351
15-Jun-2018,155.07,52.904,24.8694,70.4136
18-Jun-2018,154.56,52.84,24.9431,70.2978
19-Jun-2018,153.7,52.551,24.9404,69.7205
20-Jun-2018,154.27,52.666,24.9442,70.1182
21-Jun-2018,154.08,52.519,25.0151,69.9315
22-Jun-2018,154.73,52.699,24.9886,70.4548
25-Jun-2018,154.23,52.392,25.029,70.0697
26-Jun-2018,154.3,52.372,24.7693,70.1126
27-Jun-2018,153.21,51.977,24.6289,69.5137
28-Jun-2018,152.17,51.545,24.3044,68.9811
29-Jun-2018,153.65,52.041,24.4894,69.7923
02-Jul-2018,153.33,51.901,24.487,69.4222
03-Jul-2018,154,52.029,24.566,69.6984
04-Jul-2018,154.73,52.142,24.7756,70.1512
05-Jul-2018,154.58,51.992,24.8273,70.0479
06-Jul-2018,154.77,52.188,25.0613,70.195
09-Jul-2018,155.64,52.578,25.261,70.7132
10-Jul-2018,156.64,52.82,25.3657,71.3268
11-Jul-2018,156.44,52.673,25.3064,71.3426
12-Jul-2018,157.11,52.765,25.3093,71.8408
13-Jul-2018,157.25,52.571,25.3257,71.8106
16-Jul-2018,156.13,52.094,25.1669,71.2813
17-Jul-2018,156.54,52.556,25.2035,71.7503
18-Jul-2018,156.2,52.298,25.2953,71.5768
19-Jul-2018,156.01,52.183,25.296,71.4888
20-Jul-2018,156.98,52.418,25.451,71.8332
23-Jul-2018,158.12,52.805,25.4632,72.3185
24-Jul-2018,158.66,53.214,25.5762,72.639
25-Jul-2018,158.95,53.14,25.6847,72.6221
26-Jul-2018,159.17,53.423,25.807,72.8666
27-Jul-2018,159.97,53.779,25.6163,73.585
30-Jul-2018,160.22,53.99,25.5139,73.854
31-Jul-2018,160.7,53.979,25.4667,74.094
01-Aug-2018,160.55,53.936,25.4946,74.027
02-Aug-2018,159.79,53.847,25.4975,73.3772
03-Aug-2018,160.69,54.236,25.772,74.1299
06-Aug-2018,160.75,54.424,25.8349,74.3003
07-Aug-2018,160.9,54.379,25.9508,74.3153
08-Aug-2018,161.27,54.516,25.9868,74.7082
09-Aug-2018,161.46,54.721,26.0032,74.8477
10-Aug-2018,161,54.53,25.9092,74.5795
13-Aug-2018,160.28,54.157,25.7608,74.108
14-Aug-2018,161.21,54.298,25.9312,74.6734
16-Aug-2018,160.74,54.183,26.0185,74.3477
17-Aug-2018,161.71,54.499,26.0426,74.9047
20-Aug-2018,162.34,54.737,26.0423,75.4359
21-Aug-2018,162.65,54.807,26.0474,75.5579
23-Aug-2018,162.98,54.723,26.0969,75.6333
24-Aug-2018,162.64,54.642,26.0619,75.4811
27-Aug-2018,163.75,54.982,26.2572,76.357
28-Aug-2018,164.04,55.051,26.424,76.6597
29-Aug-2018,163.74,55.022,26.4529,76.3549
30-Aug-2018,163.67,55.144,26.5161,76.2586
31-Aug-2018,163.71,55.288,26.4697,76.2956
03-Sep-2018,162.53,54.97,26.3399,75.6551
04-Sep-2018,161.22,54.482,26.2316,75.2513
05-Sep-2018,160.67,54.293,25.9845,74.9682
06-Sep-2018,161.17,54.592,26.0822,75.3706
07-Sep-2018,161.98,54.789,26.1159,75.7096
10-Sep-2018,160.4,54.348,25.9784,74.7359
11-Sep-2018,158.83,53.816,25.889,73.7555
12-Sep-2018,159.47,53.93,25.8616,74.294
14-Sep-2018,160.78,54.517,25.9212,75.2394
17-Sep-2018,159.34,54.175,25.7486,74.3468
18-Sep-2018,158.28,53.567,25.5631,73.7027
19-Sep-2018,157.74,53.374,25.5436,73.4172
21-Sep-2018,156.65,52.876,25.4779,72.8224
24-Sep-2018,155.12,52.189,25.2504,71.6742
25-Sep-2018,156.09,52.395,25.296,72.3257
26-Sep-2018,156.24,52.48,25.2972,72.2363
27-Sep-2018,155.35,52.132,25.1033,71.7401
28-Sep-2018,154.92,51.917,25.0927,71.4345
01-Oct-2018,155.3,52.203,25.0111,71.9448
03-Oct-2018,153.57,51.868,24.8945,70.9688
04-Oct-2018,151.42,51.136,24.7645,69.2789
05-Oct-2018,149.03,50.358,24.3539,67.4384
08-Oct-2018,148.88,50.077,24.0456,67.6431
09-Oct-2018,148.4,49.936,24.0259,67.3368
10-Oct-2018,150.84,50.729,24.2182,68.3708
11-Oct-2018,148.44,50.107,23.7732,66.903
12-Oct-2018,150.99,50.848,23.904,68.4436
15-Oct-2018,151.34,51.086,24.0684,68.7032
16-Oct-2018,152.26,51.463,24.1122,69.1728
17-Oct-2018,150.76,50.953,24.1226,68.3149
19-Oct-2018,149.6,50.631,23.8373,67.3398
22-Oct-2018,148.65,50.532,23.6998,66.9571
23-Oct-2018,147.55,50.248,23.6342,66.3218
24-Oct-2018,148.18,50.451,23.6359,66.8282
25-Oct-2018,147.69,50.13,23.2909,66.2375
26-Oct-2018,147.12,49.929,23.4248,65.6193
29-Oct-2018,149.71,50.741,23.4989,67.0657
30-Oct-2018,149.77,50.673,23.3472,66.7249
31-Oct-2018,151.64,51.384,23.6279,67.952
01-Nov-2018,152.01,51.615,23.8388,67.9209
02-Nov-2018,153.19,52.101,23.8364,69.0464
05-Nov-2018,153.27,51.929,23.7599,68.8622
06-Nov-2018,152.98,51.813,23.5384,68.9008
09-Nov-2018,153.7,52.157,23.705,69.2596
12-Nov-2018,152.98,51.794,23.6286,68.5884
13-Nov-2018,153.91,52.002,23.5216,69.243
14-Nov-2018,153.97,52.208,23.5227,69.2026
15-Nov-2018,154.68,52.35,23.6072,69.4659
